company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
Alereon,Hardware|Semiconductors,ECentury Capital Partners,venture,NA,2008-11-05,4e+07
Alereon,Hardware|Semiconductors,Enhanced Capital Partners,venture,NA,2012-06-05,6e+06
Alereon,Hardware|Semiconductors,Genesis Campus,venture,B,2007-09-13,18500000
Alereon,Hardware|Semiconductors,Kinetic Ventures,venture,A,2006-01-06,31500000
Alereon,Hardware|Semiconductors,Pharos Capital Partners,venture,A,2006-01-06,31500000
Alereon,Hardware|Semiconductors,Pharos Capital Partners,venture,B,2005-10-25,2e+07
Alereon,Hardware|Semiconductors,Pharos Capital Partners,venture,NA,2012-06-05,6e+06
Alereon,Hardware|Semiconductors,Pharos Capital Partners,venture,B,2007-09-13,18500000
Alereon,Hardware|Semiconductors,Pharos Capital Partners,venture,NA,2008-11-05,4e+07
Alereon,Hardware|Semiconductors,PTV Healthcare Capital,venture,B,2007-09-13,18500000
Alereon,Hardware|Semiconductors,PTV Healthcare Capital,venture,NA,2008-11-05,4e+07
All Copy Products,Hardware + Software,SDR Ventures,venture,NA,2005-03-28,750000
Allworx,Communications Hardware|Mobile|Telecommunications|VoIP,Advantage Capital Partners,venture,A,2005-08-01,4e+06
Allworx,Communications Hardware|Mobile|Telecommunications|VoIP,Cayuga Venture Fund,venture,NA,2006-06-12,2500000
Allworx,Communications Hardware|Mobile|Telecommunications|VoIP,Enhanced Capital Partners,venture,NA,2006-02-28,2e+06
Allworx,Communications Hardware|Mobile|Telecommunications|VoIP,Primary Venture Partners,venture,A,2005-08-01,4e+06
AlpineReplay,Hardware + Software|Mobile|Sports,Amplify.LA,seed,NA,2014-01-07,NA
AlpineReplay,Hardware + Software|Mobile|Sports,Amplify.LA,seed,NA,2014-03-03,2100000
AlpineReplay,Hardware + Software|Mobile|Sports,Crosscut Ventures,seed,NA,2014-03-03,2100000
Alta Rail Technology,Hardware + Software,Darby Technology Ventures,venture,NA,2013-05-08,1.5e+07
Althea Systems,Hardware + Software,Intel Capital,venture,A,2010-11-17,3e+06
Altos Design Automation,Hardware + Software,Vista Ventures,venture,A,2007-01-08,1500000
Amiigo,Exercise|Fitness|Hardware|Hardware + Software|Health and Wellness|Technology|Tracking|Wearables,Kickstart Seed Fund,seed,NA,2013-01-16,NA
Ample Communications,Hardware + Software,Centerpoint Ventures,venture,C,2004-02-10,1.5e+07
Ample Communications,Hardware + Software,InterWest Partners,venture,NA,2005-01-01,10500000
Ample Communications,Hardware + Software,InterWest Partners,venture,C,2004-02-10,1.5e+07
Ample Communications,Hardware + Software,Kinetic Ventures,venture,C,2004-02-10,1.5e+07
Ample Communications,Hardware + Software,Milestone Merchant Partners,venture,C,2004-02-10,1.5e+07
Ample Communications,Hardware + Software,Rho Ventures,venture,C,2004-02-10,1.5e+07
Ample Communications,Hardware + Software,Storm Ventures,venture,C,2004-02-10,1.5e+07
Amulaire Thermal Technology,Hardware + Software,Tallwood Venture Capital,venture,C,2007-10-19,5e+06
Anki,Artificial Intelligence|Cars|Consumer Electronics|Entertainment|Games|Hardware + Software|Robotics,Andreessen Horowitz,venture,C,2014-09-26,5.5e+07
Anki,Artificial Intelligence|Cars|Consumer Electronics|Entertainment|Games|Hardware + Software|Robotics,Andreessen Horowitz,venture,A,2013-06-01,5e+07
Anki,Artificial Intelligence|Cars|Consumer Electronics|Entertainment|Games|Hardware + Software|Robotics,J.P. Morgan Securities Inc.,venture,C,2014-09-26,5.5e+07
AnySource Media,Hardware + Software|Internet|Television|Video Streaming,Murex Investments,venture,A,2009-03-16,3200000
AnySource Media,Hardware + Software|Internet|Television|Video Streaming,Nextstage Capital,venture,A,2009-03-16,3200000
Aperia Technologies,Hardware + Software,Augment Ventures,venture,NA,2014-07-03,6500000
Aperia Technologies,Hardware + Software,Augment Ventures,venture,NA,2011-07-26,7e+05
Aperia Technologies,Hardware + Software,Augment Ventures,private_equity,NA,2013-01-11,5701363
Aperia Technologies,Hardware + Software,Sierra Angels,private_equity,NA,2013-01-11,5701363
Aperio Technologies,Hardware + Software,Acadia Woods Partners,venture,C,2008-03-13,2e+07
Aperio Technologies,Hardware + Software,Advanced Technology Ventures,venture,C,2008-03-13,2e+07
Aperio Technologies,Hardware + Software,Advanced Technology Ventures,venture,C,2007-05-30,10600000
Aperio Technologies,Hardware + Software,BlackRock,venture,C,2008-03-13,2e+07
Aperio Technologies,Hardware + Software,El Dorado Ventures,venture,B,2004-11-02,1e+07
Aperio Technologies,Hardware + Software,Goldman Sachs,venture,B,2004-11-02,1e+07
Aperio Technologies,Hardware + Software,HLM Venture Partners,venture,C,2008-03-13,2e+07
Aperio Technologies,Hardware + Software,Mobius Venture Capital,venture,B,2004-11-02,1e+07
Apogee Photonics,Hardware + Software,Atlas Venture,venture,NA,2005-07-26,9700000
Apogee Photonics,Hardware + Software,BlueRun Ventures,venture,NA,2005-07-26,9700000
