company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
Aarki,Advertising|Mobile|Mobile Advertising|Optimization,Scrum Ventures,undisclosed,NA,2013-05-01,NA
Aarki,Advertising|Mobile|Mobile Advertising|Optimization,Walden Venture Capital,undisclosed,NA,2013-05-01,NA
Aarki,Advertising|Mobile|Mobile Advertising|Optimization,Walden Venture Capital,venture,A,2012-03-08,NA
AbZorba Games,Apps|Games|Mobile|Social Media|Software,StartTech Ventures,seed,NA,2012-05-01,396998
Acacia,Apps|Gamification|iOS|Mobile,Solidus Company,seed,NA,2012-05-20,15000
Accedian Networks,Business Services|Enterprises|Mobile|Networking|Telecommunications,Rho Capital Partners,venture,C,2010-08-04,19500000
Accedian Networks,Business Services|Enterprises|Mobile|Networking|Telecommunications,Rho Capital Partners,venture,B,2008-02-14,7540000
Accedian Networks,Business Services|Enterprises|Mobile|Networking|Telecommunications,Summit Partners,venture,C,2010-08-04,19500000
Accelera,Mobile|Technology|Wireless,Jackson Square Ventures,undisclosed,NA,2012-02-01,NA
Accelera,Mobile|Technology|Wireless,Spark Capital,venture,A,2013-05-03,3033472
AccelGolf,Apps|Finance|Mobile|Sports,Libra Future Fund,grant,NA,2008-01-01,5000
AccelGolf,Apps|Finance|Mobile|Sports,Maine Technology Institute,grant,NA,2008-01-01,24000
AccelGolf,Apps|Finance|Mobile|Sports,Maine Technology Institute,debt_financing,NA,2009-09-01,235000
AccelGolf,Apps|Finance|Mobile|Sports,Techstars,seed,NA,2009-09-10,18000
AccelGolf,Apps|Finance|Mobile|Sports,University of Southern Maine,grant,NA,2008-04-01,10000
AccessSportsMedia.com,Advertising|Distribution|Mobile|Sales and Marketing|Social Media,Bessemer Venture Partners,venture,A,2006-11-07,4250000
AccessSportsMedia.com,Advertising|Distribution|Mobile|Sales and Marketing|Social Media,Bessemer Venture Partners,venture,B,2008-10-29,8e+06
AccessSportsMedia.com,Advertising|Distribution|Mobile|Sales and Marketing|Social Media,Columbia Capital,venture,C,2011-01-05,1.2e+07
AccessSportsMedia.com,Advertising|Distribution|Mobile|Sales and Marketing|Social Media,Mission Ventures,venture,B,2008-10-29,8e+06
AccessSportsMedia.com,Advertising|Distribution|Mobile|Sales and Marketing|Social Media,Mission Ventures,venture,C,2011-01-05,1.2e+07
Accupass,Mobile,DCM,venture,B,2014-03-01,1e+06
Accupass,Mobile,Qualcomm Incorporated,undisclosed,NA,2013-02-01,NA
Accupass,Mobile,Qualcomm Incorporated,venture,B,2014-03-01,1e+06
Aceable,Education|Mobile Commerce|Technical Continuing Education,Capital Factory,seed,NA,2013-10-15,NA
Aceable,Education|Mobile Commerce|Technical Continuing Education,FLOODGATE,seed,NA,2015-10-01,4700000
Aceable,Education|Mobile Commerce|Technical Continuing Education,NextGen Angels,seed,NA,2015-10-01,4700000
Aceable,Education|Mobile Commerce|Technical Continuing Education,Silverton Partners,seed,NA,2015-10-01,4700000
The Activity Exchange (AchieveMint),Health and Wellness|Health Care|mHealth|Mobile,Asset Management Ventures (AMV),seed,NA,2012-01-01,NA
The Activity Exchange (AchieveMint),Health and Wellness|Health Care|mHealth|Mobile,Rock Health,seed,NA,2012-01-01,NA
Acision,Mobile,Access Industries,private_equity,NA,2010-10-05,1e+08
Acompli,Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS,Felicis Ventures,venture,A,2013-06-04,7300000
Acompli,Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS,Harrison Metal,venture,A,2013-06-04,7300000
Acompli,Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS,Redpoint Ventures,venture,A,2013-06-04,7300000
Acorns,Apps|Finance|FinTech|Mobile|Technology,Cruttenden Partners,venture,A,2013-10-01,2500000
Acorns,Apps|Finance|FinTech|Mobile|Technology,Cruttenden Partners,seed,NA,2012-06-01,3e+05
Acorns,Apps|Finance|FinTech|Mobile|Technology,e.ventures,venture,C,2015-04-15,2.3e+07
Acorns,Apps|Finance|FinTech|Mobile|Technology,Garland Capital Group,venture,C,2015-04-15,2.3e+07
Acorns,Apps|Finance|FinTech|Mobile|Technology,Great Oaks Venture Capital,venture,C,2015-04-15,2.3e+07
Acorns,Apps|Finance|FinTech|Mobile|Technology,Great Oaks Venture Capital,venture,B,2014-03-14,6160000
Acorns,Apps|Finance|FinTech|Mobile|Technology,Jacobs Asset Management,venture,B,2014-03-14,6160000
Acorns,Apps|Finance|FinTech|Mobile|Technology,Math Venture Partners,venture,C,2015-04-15,2.3e+07
Acorns,Apps|Finance|FinTech|Mobile|Technology,Sound Ventures,venture,C,2015-04-15,2.3e+07
Action Engine,Mobile,Baker Capital,venture,C,2003-03-01,15500000
Action Engine,Mobile,Baker Capital,venture,E,2007-07-01,2e+07
Action Engine,Mobile,Baker Capital,venture,D,2005-01-01,1e+07
Action Engine,Mobile,Intel Capital,venture,E,2007-07-01,2e+07
Action Engine,Mobile,Northwest Venture Associates,venture,E,2007-07-01,2e+07
Action Engine,Mobile,Northwest Venture Associates,venture,B,2002-03-13,5e+06
Action Engine,Mobile,OVP Venture Partners,venture,A,2000-05-01,7700000
Action Engine,Mobile,OVP Venture Partners,venture,E,2007-07-01,2e+07
Action Engine,Mobile,OVP Venture Partners,venture,B,2002-03-13,5e+06
Action Engine,Mobile,Spangler Group,venture,E,2007-07-01,2e+07
Action Engine,Mobile,Spangler Ventures,venture,B,2002-03-13,5e+06
ActionX,Mobile,AOL Ventures,seed,NA,2012-03-01,2e+06
