company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
2U Inc.,EdTech|Education|Software,Redpoint Ventures,venture,C,2011-03-10,32500000
2U Inc.,EdTech|Education|Software,Redpoint Ventures,venture,B,2010-02-05,2e+07
2U Inc.,EdTech|Education|Software,Rethink Education,venture,D,2013-10-21,5100000
2Web Technologies,Software,Ali Partovi,angel,NA,2001-12-01,NA
2Web Technologies,Software,Hadi Partovi,angel,NA,2001-12-01,NA
30 Second Showcase,Apps|Creative|Design|Finance|Mobile|Photography|Software,TechLaunch,seed,NA,2013-05-20,25000
360Commerce,Information Technology|Retail|Software,Jefferson Capital Partners,venture,C,2003-10-29,1.2e+07
360Commerce,Information Technology|Retail|Software,Lovett Miller & Co.,venture,C,2003-10-29,1.2e+07
360Commerce,Information Technology|Retail|Software,Sierra Ventures,venture,C,2003-10-29,1.2e+07
360Commerce,Information Technology|Retail|Software,SSM Partners,venture,C,2003-10-29,1.2e+07
"360fly, Inc.",Consumer Electronics|Software,Catterton Partners,venture,B,2014-08-11,17800000
"360fly, Inc.",Consumer Electronics|Software,Qualcomm Ventures,venture,B,2014-08-11,17800000
365 Retail Markets,Point of Sale|SaaS|Software,Plymouth Ventures,venture,NA,2015-05-29,NA
365 Retail Markets,Point of Sale|SaaS|Software,Plymouth Ventures,debt_financing,NA,2013-04-01,NA
365 Retail Markets,Point of Sale|SaaS|Software,Plymouth Ventures,venture,A,2013-12-31,NA
Basecamp,Project Management|SaaS|Social Media|Software,Bezos Expeditions,venture,A,2006-07-01,NA
3CLogic,Customer Service|Sales and Marketing|Software|Telephony,Blu Venture Investors,venture,B,2014-03-04,4200000
3CLogic,Customer Service|Sales and Marketing|Software|Telephony,Camber Creek,venture,NA,2014-12-18,2222190
3CLogic,Customer Service|Sales and Marketing|Software|Telephony,Camber Creek,venture,B,2014-03-04,4200000
3CLogic,Customer Service|Sales and Marketing|Software|Telephony,Maryland Venture Fund,convertible_note,NA,2013-01-14,1540000
