company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
Panvidea,Cloud Computing|Games|Video,Gotham Ventures,venture,A,2010-03-19,2700000
PapayaMobile,Android|Enterprise Software|Mobile|Social Games,DCM,venture,B,2011-04-27,1.8e+07
PapayaMobile,Android|Enterprise Software|Mobile|Social Games,DCM,venture,A,2010-01-01,4e+06
PapayaMobile,Android|Enterprise Software|Mobile|Social Games,DCM,undisclosed,NA,2010-12-01,4e+06
Pathfire,Games,Alliance Technology Ventures,venture,NA,2007-01-03,2e+06
Pathfire,Games,AT&T,venture,NA,2007-01-03,2e+06
Pathfire,Games,CNN.com,venture,NA,2007-01-03,2e+06
Pathfire,Games,Kinetic Ventures,venture,NA,2007-01-03,2e+06
Pathfire,Games,Noro-Moseley Partners,venture,NA,2007-01-03,2e+06
PAYMILL,E-Commerce|Games|Payments|Subscription Businesses,Blumberg Capital,venture,A,2013-02-15,5e+06
PayParade Pictures,Advertising|Direct Marketing|Games|Social Media|Social Network Media,Ben Franklin Technology Partners of Northeast Pennsylvania,venture,A,2009-03-13,75000
PayParade Pictures,Advertising|Direct Marketing|Games|Social Media|Social Network Media,Ben Franklin Technology Partners of Northeast Pennsylvania,seed,NA,2008-12-01,125000
PeerMe,Games|VoIP,CA Capital,venture,A,2005-01-01,5e+06
PermissionTV,Entertainment|Games|Publishing|Television|Video|Video on Demand,Castile Ventures,venture,C,2007-06-01,9e+06
PermissionTV,Entertainment|Games|Publishing|Television|Video|Video on Demand,Converge Venture Partners,venture,C,2007-06-01,9e+06
PermissionTV,Entertainment|Games|Publishing|Television|Video|Video on Demand,Converge Venture Partners,venture,B,2005-06-01,NA
PermissionTV,Entertainment|Games|Publishing|Television|Video|Video on Demand,Converge Venture Partners,venture,A,2004-11-01,NA
PermissionTV,Entertainment|Games|Publishing|Television|Video|Video on Demand,CramerOnline,venture,C,2007-06-01,9e+06
PermissionTV,Entertainment|Games|Publishing|Television|Video|Video on Demand,CramerOnline,venture,B,2005-06-01,NA
PermissionTV,Entertainment|Games|Publishing|Television|Video|Video on Demand,CramerOnline,venture,A,2004-11-01,NA
PermissionTV,Entertainment|Games|Publishing|Television|Video|Video on Demand,Inflection Point Ventures,venture,C,2007-06-01,9e+06
PermissionTV,Entertainment|Games|Publishing|Television|Video|Video on Demand,Inflection Point Ventures,venture,B,2005-06-01,NA
PermissionTV,Entertainment|Games|Publishing|Television|Video|Video on Demand,Inflection Point Ventures,venture,A,2004-11-01,NA
PermissionTV,Entertainment|Games|Publishing|Television|Video|Video on Demand,Massachusetts Technology Development Corporation,venture,C,2007-06-01,9e+06
